Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Survey,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Churn_Yes,Techie_Yes,Contract_One year,Contract_Two Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
0,68,28561.99,7.978322947,10,0,1,6.795512947,172.455519,4.0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0
1,27,21704.77,11.69907956,12,0,1,1.156680997,242.632554,4.0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0
4,50,9609.57,10.75280028,9,0,1,15.75414408,159.947583,3.0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
1,48,18925.23,14.91353964,15,2,0,17.08722662,119.95684,4.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
0,83,40074.19,8.147416533,16,2,1,1.670971726,149.948316,4.0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
3,83,22660.2,8.420992898,15,3,1,7.000993555,185.007692,3.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0
0,79,11467.5,11.18272453,10,0,1,13.23677381,200.118516,5.0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0
2,30,26759.64,7.791632265,16,0,0,4.26425515,114.950905,3.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2,49,58634.51,5.739005915,20,2,3,8.220686373,117.468591,4.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
1,86,50231.4,8.707823904,18,1,0,3.422086139,162.482694,3.0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
7,23,22580.7,9.341631685,9,0,2,19.26726194,174.958118,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1
2,56,18342.12,6.68082638,17,1,1,10.52199781,149.962093,4.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,83,83671.08,8.273875452,9,0,0,13.01149229,137.439154,2.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
5,29,115114.57,5.880565591,14,1,0,16.87922024,184.971516,4.0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0
1,30,64256.81,11.79073041,10,3,0,10.06019902,159.965581,3.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
3,39,89061.45,10.79846973,13,1,0,13.87001293,177.65076,3.0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0
0,63,31659.3,13.52284721,13,1,0,15.78214958,194.966286,4.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0
2,60,44142.81,9.831166695,16,3,0,2.303331273,202.682861,3.0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1
3,61,39262.14,9.57470568,11,1,0,17.10995632,152.490739,3.0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0
3,23,19494.75,10.92246098,10,1,0,12.80615845,149.944668,4.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0
4,38,39624.21,12.06889188,14,0,3,20.45390977,184.978458,3.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0
3,30,45714.47,6.984819996,18,1,0,2.415991977,127.495766,4.0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
3,52,27442.03,9.372975594,16,1,1,6.652298992,124.964303,3.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
2,68,79699.62,7.109002592,9,0,0,8.543717478,149.948316,4.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0
3,75,28520.32,13.74777955,15,1,0,5.770390256,162.511928,3.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0
1,77,12558.83,9.767668044,12,1,0,4.157658837,92.455141,4.0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
